date,plan_kwh,adjusted_kwh,increase_kwh,decrease_kwh,emergency_kwh,charge_kwh,discharge_kwh,plan_cost_yuan,adjustment_cost_yuan,ordinary_settlement_cost_yuan,emergency_cost_yuan,total_cost_yuan,soc_start_kwh,soc_end_kwh
2025-07-16,76820.80961391974,76820.80961391974,0.0,0.0,63.823856666666565,20537.34101802126,16464.09223,48937.54680463907,0.0,48937.54680463907,430.92535781833266,49368.4721624574,6128.243557907408,6318.414663015433
2025-07-17,74571.67887048697,74571.67887048697,0.0,0.0,2195.2398867819,20799.701318871743,17095.454676499998,46832.84454251552,0.0,46832.84454251552,14914.092580710241,61746.93712322576,6318.414663015433,6043.196209444444
2025-07-18,85775.45829267832,85775.45829267832,0.0,0.0,0.0,13992.390477160487,7052.712874999999,53921.98791250524,0.0,53921.98791250524,0.0,53921.98791250524,6043.196209444444,10800.0
2025-07-19,78100.24789791153,78100.24789791153,0.0,0.0,0.0,8390.075401234566,6837.654574999999,50830.64190320417,0.0,50830.64190320417,0.0,50830.64190320417,10800.0,10753.673888888889
2025-07-20,75364.96613539074,75364.96613539074,0.0,0.0,285.6538236194466,15434.88215869684,16738.50552061944,47670.770714267885,0.0,47670.770714267885,1964.4809605559265,49635.25167482381,10753.673888888889,6046.728364361112
2025-07-21,80804.74761097049,80804.74761097049,0.0,0.0,165.7086580361132,21489.792830277776,17384.866848908332,50622.82910480398,0.0,50622.82910480398,1111.5391411824257,51734.36824598641,6046.728364361112,6071.023190601853
2025-07-22,76316.500481286,76316.500481286,0.0,0.0,1451.3528248583339,20197.354889063783,16337.595210975003,48152.63626827535,0.0,48152.63626827535,9975.192637019114,58127.82890529447,6071.023190601853,6095.75902300926
2025-07-23,86575.31418463893,86575.31418463893,0.0,0.0,123.63152964166677,20372.537607825787,16552.178487547222,54735.445587345144,0.0,54735.445587345144,840.8498993997803,55576.29548674492,6095.75902300926,6039.733439444443
2025-07-24,85737.98409589849,85737.98409589849,0.0,0.0,1.8474166666668073,20687.561612390255,16318.697487777777,54244.33718094108,0.0,54244.33718094108,12.45370575000095,54256.79088669108,6039.733439444443,6526.652793064813
2025-07-25,74311.70865347734,74311.70865347734,0.0,0.0,0.0,13479.14265585391,7072.093065000001,47158.501720093656,0.0,47158.501720093656,0.0,47158.501720093656,6526.652793064813,10800.0
2025-07-26,76291.07883070986,76291.07883070986,0.0,0.0,0.0,9088.3189691358,7372.985781666667,48438.53027004643,0.0,48438.53027004643,0.0,48438.53027004643,10800.0,10787.280648148148
