variant,date,issue_datetime,issue_hour,first_target_end,last_target_end,soc_measured_kwh,planned_terminal_kwh,milp_gap,price_mode,radius_scale,nominal_horizon_proxy_cost_yuan,box_worst_horizon_proxy_cost_yuan,q2_pv_history_only,load_history_through_date
4-3,2025-05-11,2025-05-11 12:00:00,12,2025-05-11 12:10:00,2025-05-12 12:00:00,9088.07879695694,6000.0,4.033818154435983e-16,forecast,1.0,41502.31245139758,46106.731405772574,False,2025-05-10
4-3,2025-05-11,2025-05-11 18:00:00,18,2025-05-11 18:10:00,2025-05-12 18:00:00,10800.0,6000.0,2.899815527979739e-16,forecast,1.0,38762.949920489824,42983.105663197035,False,2025-05-10
4-3,2025-05-12,2025-05-12 00:00:00,0,2025-05-12 00:10:00,2025-05-13 00:00:00,6246.128912768807,6000.0,0.0,forecast,1.0,34846.27716484023,38284.98871663054,False,2025-05-11
4-3,2025-05-12,2025-05-12 06:00:00,6,2025-05-12 06:10:00,2025-05-13 06:00:00,9512.112058158811,6000.0,4.244693650333809e-16,forecast,1.0,38713.10554495187,42814.304723929876,False,2025-05-11
4-3,2025-05-12,2025-05-12 12:00:00,12,2025-05-12 12:10:00,2025-05-13 12:00:00,9273.105418756702,6000.0,0.0,forecast,1.0,36554.44848844037,40164.19375528696,False,2025-05-11
4-3,2025-05-12,2025-05-12 18:00:00,18,2025-05-12 18:10:00,2025-05-13 18:00:00,10788.40360335648,6000.0,0.0,forecast,1.0,40249.48505914117,45285.94475923652,False,2025-05-11
4-3,2025-05-13,2025-05-13 00:00:00,0,2025-05-13 00:10:00,2025-05-14 00:00:00,6656.7812322079035,6000.0,0.0,forecast,1.0,39354.98316504534,43855.680076592835,False,2025-05-12
4-3,2025-05-13,2025-05-13 06:00:00,6,2025-05-13 06:10:00,2025-05-14 06:00:00,10052.367592592593,6000.0,0.0,forecast,1.0,39356.01376224353,43808.544738179626,False,2025-05-12
4-3,2025-05-13,2025-05-13 12:00:00,12,2025-05-13 12:10:00,2025-05-14 12:00:00,10800.0,6000.0,2.7018488535578405e-16,forecast,1.0,48830.51245618191,54329.93507607834,False,2025-05-12
4-3,2025-05-13,2025-05-13 18:00:00,18,2025-05-13 18:10:00,2025-05-14 18:00:00,10800.0,6000.0,0.0,forecast,1.0,37152.43317685752,41344.694505076026,False,2025-05-12
4-3,2025-05-14,2025-05-14 00:00:00,0,2025-05-14 00:10:00,2025-05-15 00:00:00,6614.984456758827,6000.0,0.0,forecast,1.0,39260.239322736,43502.27091843511,False,2025-05-13
4-3,2025-05-14,2025-05-14 06:00:00,6,2025-05-14 06:10:00,2025-05-15 06:00:00,10074.519907407408,6000.0,0.0,forecast,1.0,38492.744092295194,42747.78001890659,False,2025-05-13
4-3,2025-05-14,2025-05-14 12:00:00,12,2025-05-14 12:10:00,2025-05-15 12:00:00,8600.801009173083,6000.0,0.0,forecast,1.0,39913.274197797786,44158.55513761889,False,2025-05-13
4-3,2025-05-14,2025-05-14 18:00:00,18,2025-05-14 18:10:00,2025-05-15 18:00:00,10800.0,6000.0,0.0,forecast,1.0,36706.374854568014,40920.324180780124,False,2025-05-13
4-3,2025-05-15,2025-05-15 00:00:00,0,2025-05-15 00:10:00,2025-05-16 00:00:00,6589.931834489871,6000.0,0.0,forecast,1.0,40423.15300713133,44431.57179799584,False,2025-05-14
4-3,2025-05-15,2025-05-15 06:00:00,6,2025-05-15 06:10:00,2025-05-16 06:00:00,10068.213425925926,6000.0,0.0,forecast,1.0,39711.41750848862,44035.987319468346,False,2025-05-14
